"","Order.no","SFG.Material.Number","RM.Number","RM.Length","RM.Breadth","Plant","Order.requirement","Forecast.Date","Mfg.Lead.time","Kit.Number","FG.Material.number","FG.SFG.Material.Length","FG.SFG.Material.Breadth","RM.required.quantity","RM.Thickness","RM.Density","BOM.Priority.List","Moving.Average.Price","Lead.Time.x","Qty..Set","X","X.1","Coil","Batch","wastage","Cost","Remarks","fromStock","Purchase","Lead.Time.y"
"1","2A","870-0174",2030033,1820,1220,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",950,895,4.77,1.5,2.8e-06,1,198,30,1,477,"","","NA",23.4147000540443,198,"",0,324.360000000032,30
"2","2A","870-0174",2030033,2440,1220,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",950,895,6.25,1.5,2.8e-06,2,198,30,1,NA,"","","MKO995",42.8748992206396,0,"",200,0,30
"3","2A","870-0177",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,55.5,0.43,2,7.85e-06,1,46,30,1,43,"","2011180","NA",2.17792,44.375,"",0,43.0000000000155,30
"4","2A","870-0177",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,55.5,0.43,2,7.85e-06,2,43,30,1,43,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","2A","870-0178A",2030033,2500,925,1001,100,"01-09-2016",8,"PVSCL18NA
","870-0178A",480.2,417.5,0.97,1.5,2.8e-06,NA,198,30,1,97,"","","NA",13.3044324324324,198,"",0,96.9999999999573,30
"6","2A","870-0179A",2030001,2500,1220,1001,100,"01-09-2016",8,"PVSCL18NA
","870-0179A",226.5,183.5,0.17,1.2,2.8e-06,NA,198,30,1,17,"","","NA",10.0609344262295,198,"",0,17.0000000000014,30
"7","2A","870-17616",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",662,446,8.18,2,7.85e-06,1,46,30,1,818,"","2011180","NA",43.311616,44.375,"",0,818.000000000376,30
"8","2A","870-17616",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",662,446,8.18,2,7.85e-06,2,43,30,1,818,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","2A","870-17617",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",258,101,0.61,2,7.85e-06,1,46,30,2,122,"","2011180","NA",9.943552,44.375,"",0,121.999999999932,30
"10","2A","870-17617",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",258,101,0.61,2,7.85e-06,2,43,30,2,122,"",NA,NA,NA,NA,NA,NA,NA,NA
"11","2A","870-23577A",2030590,2000,1220,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-81770B",1030,978,10.24,3,2.8e-06,NA,198,30,1,1024,"","","NA",17.4311475409836,198,"",0,1024,30
"12","2A","870-24856B",2040198,2500,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","870-24856B",180,43.8,0.12,1,7.85e-06,NA,200,30,1,12,"","","NA",8.167168,240,"",0,12.0000000000077,30
"13","2A","870-26618",2030003,2500,1000,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",631,132,0.87,2,2.8e-06,NA,198,30,1,87,"","","NA",30.03472,198,"",0,87.0000000000244,30
"14","2A","870-26647",2030033,2440,1220,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",145,97,0.065,1.5,2.8e-06,NA,198,30,2,13,"","","MKO995",5.5025530771298,0,"",13.0000000000062,0,30
"15","2A","870-26682A",2040198,NA,NA,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",98,54,0.04,1,7.85e-06,NA,200,30,2,8,"",NA,NA,NA,NA,NA,NA,NA,NA
"16","2A","870-26684A",2040198,2500,1250,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",347,54,0.13,1,7.85e-06,NA,200,30,1,13,"","","NA",3.461824,240,"",0,13.0000000000062,30
"17","2A","870-26687A",2030003,2500,1000,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",275,190,0.32,2,2.8e-06,NA,198,30,1,32,"","","NA",5.95,198,"",0,32,30
"18","2A","870-26692B",2030001,2500,1220,1001,100,"01-09-2016",8,"PVSCL2025E100
","870-26692B",267,171,0.25,1.2,2.8e-06,NA,198,30,1,25,"","","NA",5.69209836065574,198,"",0,25,30
"19","2A","870-26693A",2030003,2500,1000,1001,100,"01-09-2016",8,"PVSCL2025E100
","870-26693A",158,58,0.08,2,2.8e-06,NA,198,30,1,8,"","","NA",5.42752,198,"",0,8,30
"20","2A","870-26788",2030003,2500,1000,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-817548A",505,125,0.41,2,2.8e-06,NA,198,30,1,41,"","","NA",19.2,198,"",0,40.9999999999984,30
"21","2A","870-27104",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",595,98,1,2,7.85e-06,1,46,30,1,100,"","2011180","NA",6.704,44.375,"",0,100,30
"22","2A","870-27104",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",595,98,1,2,7.85e-06,2,43,30,1,100,"",NA,NA,NA,NA,NA,NA,NA,NA
"23","2A","870-27105A",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",558,114.5,1.11,2,7.85e-06,1,46,30,1,111,"","2011180","NA",14.130496,44.375,"",0,110.999999999988,30
"24","2A","870-27105A",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",558,114.5,1.11,2,7.85e-06,2,43,30,1,111,"",NA,NA,NA,NA,NA,NA,NA,NA
"25","2A","870-27140A",2030003,2500,1000,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",890,1220,7,2,2.8e-06,NA,198,30,1,700,"","","NA",13.136,198,"",0,699.999999999475,30
"26","2A","870-62848",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,67.5,0.48,2,7.85e-06,1,46,30,1,48,"","2011180","NA",2.17792,44.375,"",0,48.0000000000307,30
"27","2A","870-62848",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,67.5,0.48,2,7.85e-06,2,43,30,1,48,"",NA,NA,NA,NA,NA,NA,NA,NA
"28","2A","870-94243A",2010370,2500,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","870-94243A",360,120.4,1.22,2,7.85e-06,1,46,30,1,122,"","2011180","NA",16.77952,44.375,"",0,121.999999999932,30
"29","2A","870-94243A",2011180,NA,1250,1001,100,"01-09-2016",8,"PVSCL18NA
","870-94243A",360,120.4,1.22,2,7.85e-06,2,43,30,1,122,"",NA,NA,NA,NA,NA,NA,NA,NA
"30","3A","870-10777D",2110001,NA,NA,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",602,120.5,1.04,1.5,7.85e-06,NA,55,30,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"31","3A","870-11410C",2110002,2000,1250,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,0.923,2,7.85e-06,2,55,35,1,1846,"Galvannealed-2.0mm Sht","","MKO1000",10.021888,0,"",400,0,35
"32","3A","870-11410C",2110002,2500,1250,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,0.87,2,7.85e-06,1,55,35,1,1740,"Galvannealed-2.0mm Sht","","MKO999",10.021888,0,"",300.000000000117,0,35
"33","3A","870-11410C",2110002,2500,1250,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,0.87,2,7.85e-06,1,55,35,1,1740,"Galvannealed-2.0mm Sht","2110006","NA",10.021888,45.875,"",0,1062.96858071563,35
"34","3A","870-11410C",2110006,NA,1250,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,NA,2,7.85e-06,3,44.5,35,1,0,"Galvannealed-2.0mm Sht",NA,NA,NA,NA,NA,NA,NA,NA
"35","3A","S1A81002D",2021163,1420,380,1001,200,"01-09-2016",11,"","S1A81002D",710,380,3.176895,1.5,7.85e-06,NA,33.5,30,1,NA,"","","NA",0,33.5,"",0,635.378999999827,30
