"Batch","Order.no","SFG.Material.Number","RM.Number","Plant","Order.requirement","Forecast.Date","Mfg.Lead.time","Kit.Number","FG.Material.number","FG.SFG.Material.Length","FG.SFG.Material.Breadth","RM.required.quantity","RM.Thickness","RM.Density","BOM.Priority.List","Moving.Average.Price","Lead.Time.x","Qty..Set","X","X.1","Coil","RM.Length","RM.Breadth","wastage","fromStock","Purchase","Lead.Time.y","Cost","Remarks","Stock.Plant"
"MKO1003","3A","870-10777D",2110001,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",602,120.5,1.04,1.5,7.85e-06,NA,55,30,1,NA,"","","2500","1250","7.14752","300.000000000117","0","30","0","",1001
"MKO1004","3A","870-10777D",2110001,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",602,120.5,1.04,1.5,7.85e-06,NA,55,30,1,NA,"","","1970","1250","5.73352284263959","400","0","30","0","",1001
"MKO1005","3A","870-10777D",2110001,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",602,120.5,1.04,1.5,7.85e-06,NA,55,30,1,NA,"","","2000","1219","4.7862182116489","500","0","30","0","",1001
"MKO995","2A","870-26647",2030033,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",145,97,0.065,1.5,2.8e-06,NA,198,30,2,13,"","","2440","1220","5.5025530771298","13.0000000000062","0","30","0","",1001
"NA","2A","870-26682A",2040198,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",98,54,0.04,1,7.85e-06,NA,200,30,2,8,"","","2500","1250","2.6272","0","8.53260869565358","30","240","",NA
"NA","3A","870-10777D",2110001,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",602,120.5,1.04,1.5,7.85e-06,NA,55,30,1,NA,"","2110015","2500","1250","7.14752","0","743.28371242652","30","45.875","",NA
"NA","2A","870-24856B",2040198,1001,100,"01-09-2016",8,"PVSCL18NA
","870-24856B",180,43.8,0.12,1,7.85e-06,NA,200,30,1,12,"","","2500","1250","8.167168","0","12.0000000000077","30","240","",NA
"NA","2A","870-26618",2030003,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",631,132,0.87,2,2.8e-06,NA,198,30,1,87,"","","2500","1000","30.03472","0","87.0000000000244","30","198","",NA
"NA","2A","870-0174",2030033,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",950,895,4.77,1.5,2.8e-06,1,198,30,1,477,"","","1820","1220","23.4147000540443","0","477.000000000048","30","198","",NA
"NA","2A","870-0177",2010370,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,55.5,0.43,2,7.85e-06,1,46,30,1,43,"","2011180","2500","1250","2.17792","0","43.0000000000155","30","44.375","",NA
"NA","2A","870-0178A",2030033,1001,100,"01-09-2016",8,"PVSCL18NA
","870-0178A",480.2,417.5,0.97,1.5,2.8e-06,NA,198,30,1,97,"","","2500","925","13.3044324324324","0","96.9999999999573","30","198","",NA
"NA","2A","870-0179A",2030001,1001,100,"01-09-2016",8,"PVSCL18NA
","870-0179A",226.5,183.5,0.17,1.2,2.8e-06,NA,198,30,1,17,"","","2500","1220","10.0609344262295","0","17.0000000000014","30","198","",NA
"NA","2A","870-17616",2010370,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",662,446,8.18,2,7.85e-06,1,46,30,1,818,"","2011180","2500","1250","43.311616","0","818.000000000376","30","44.375","",NA
"NA","2A","870-17617",2010370,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",258,101,0.61,2,7.85e-06,1,46,30,2,122,"","2011180","2500","1250","9.943552","0","121.999999999932","30","44.375","",NA
"NA","2A","870-23577A",2030590,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-81770B",1030,978,10.24,3,2.8e-06,NA,198,30,1,1024,"","","2000","1220","17.4311475409836","0","1024","30","198","",NA
"NA","2A","870-62848",2010370,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,67.5,0.48,2,7.85e-06,1,46,30,1,48,"","2011180","2500","1250","2.17792","0","48.0000000000307","30","44.375","",NA
"NA","2A","870-94243A",2010370,1001,100,"01-09-2016",8,"PVSCL18NA
","870-94243A",360,120.4,1.22,2,7.85e-06,1,46,30,1,122,"","2011180","2500","1250","16.77952","0","121.999999999932","30","44.375","",NA
"NA","2A","870-26684A",2040198,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",347,54,0.13,1,7.85e-06,NA,200,30,1,13,"","","2500","1250","3.461824","0","13.0000000000062","30","240","",NA
"NA","2A","870-26687A",2030003,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",275,190,0.32,2,2.8e-06,NA,198,30,1,32,"","","2500","1000","5.95","0","32","30","198","",NA
"NA","2A","870-26692B",2030001,1001,100,"01-09-2016",8,"PVSCL2025E100
","870-26692B",267,171,0.25,1.2,2.8e-06,NA,198,30,1,25,"","","2500","1220","5.69209836065574","0","25","30","198","",NA
"NA","2A","870-26693A",2030003,1001,100,"01-09-2016",8,"PVSCL2025E100
","870-26693A",158,58,0.08,2,2.8e-06,NA,198,30,1,8,"","","2500","1000","5.42752","0","8","30","198","",NA
"NA","2A","870-26788",2030003,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-817548A",505,125,0.41,2,2.8e-06,NA,198,30,1,41,"","","2500","1000","19.2","0","40.9999999999984","30","198","",NA
"NA","2A","870-27104",2010370,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",595,98,1,2,7.85e-06,1,46,30,1,100,"","2011180","2500","1250","6.704","0","100","30","44.375","",NA
"NA","2A","870-27105A",2010370,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",558,114.5,1.11,2,7.85e-06,1,46,30,1,111,"","2011180","2500","1250","14.130496","0","110.999999999988","30","44.375","",NA
"NA","2A","870-27140A",2030003,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-818690B",890,1220,7,2,2.8e-06,NA,198,30,1,700,"","","2500","1000","13.136","0","699.999999999475","30","198","",NA
"NA","3A","870-11410C",2110002,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,0.87,2,7.85e-06,1,55,35,1,1740,"Galvannealed-2.0mm Sht","2110006","2500","1250","10.021888","0","1740.00000000049","35","45.875","",NA
"NA","3A","S1A81002D",2021163,1001,200,"01-09-2016",11,"","S1A81002D",710,380,3.176895,1.5,7.85e-06,NA,33.5,30,1,NA,"","","1420","380","0","0","635.378999999827","30","33.5","",NA
NA,"2A","870-17617",2011180,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",258,101,0.61,2,7.85e-06,2,43,30,2,122,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-0174",2030033,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",950,895,6.25,1.5,2.8e-06,2,198,30,1,NA,"",NA,"2440","1220",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-0177",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,55.5,0.43,2,7.85e-06,2,43,30,1,43,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-17616",2011180,1001,100,"01-09-2016",8,"PVSCL2025E100
","0M-12083A",662,446,8.18,2,7.85e-06,2,43,30,1,818,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-27105A",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",558,114.5,1.11,2,7.85e-06,2,43,30,1,111,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-62848",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-77367A",408,67.5,0.48,2,7.85e-06,2,43,30,1,48,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-27104",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","0M-818640B",595,98,1,2,7.85e-06,2,43,30,1,100,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"3A","870-11410C",2110006,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,NA,2,7.85e-06,3,44.5,35,1,0,"Galvannealed-2.0mm Sht",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
NA,"3A","870-11410C",2110002,1001,2000,"01-09-2016",11,"ACRC-501","0M-6489G",294,159.4,0.923,2,7.85e-06,2,55,35,1,1846,"Galvannealed-2.0mm Sht",NA,"2000","1250",NA,NA,NA,NA,NA,NA,NA
NA,"2A","870-94243A",2011180,1001,100,"01-09-2016",8,"PVSCL18NA
","870-94243A",360,120.4,1.22,2,7.85e-06,2,43,30,1,122,"",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA
